post_id,user_id,username,followers,following,post_type,post_timestamp,likes,comments,caption,hashtags
DJwmkWNAq6x,259220806,9gag,55203441,31,image,2025-05-17T15:17:48,84243,115,"Tom Cruise makes it look so easy

Watch Mission: Impossible - The Final Reckoning in theatres on 23 May! 🎬
Get Tickets Now 👉🏼 Link in bio.

#missionimpossible",missionimpossible
DJt_y3CJUHo,259220806,9gag,55203441,31,video,2025-05-16T15:00:52,7092,21,"OCD Gamers unite! 🎮🧑🏽‍🎨

Build your perfect room in @playpalia  now! 
Play now for free 👉🏼 Link in bio.",
DJ41XwqTcvx,259220806,9gag,55203441,31,image,2025-05-20T20:01:08,11904,28,"dammit 
-
#exam #memes #9gag","exam, memes, 9gag"
DJ4TSBoNa8B,259220806,9gag,55203441,31,image,2025-05-20T15:03:14,113988,86,"I'm exhausted
-
#home #tired #memes #9gag","home, tired, memes, 9gag"
DJ4S7VauMs4,259220806,9gag,55203441,31,image,2025-05-20T15:00:06,22990,58,"I'm messing up an easy job while Tom Cruise is diving to a depth of 50 metres.

Watch Mission: Impossible - The Final Reckoning in theatres on 23 May! 🎬
Get Tickets Now 👉🏼 Link in bio.

#missionimpossible",missionimpossible
DJ3wrAfhP3r,259220806,9gag,55203441,31,video,2025-05-20T10:01:05,129480,164,"I don't carrot all 📹 @kinaaakoo__
-
#turnip #radish #orangecat  #9gag","turnip, radish, orangecat, 9gag"
DJ3cAwjvVCY,259220806,9gag,55203441,31,video,2025-05-20T07:00:00,91343,112,"Say Meow Meow! 🐱 

#meow #cat #reel #9gag","meow, cat, reel, 9gag"
DJ3OUANtFWB,259220806,9gag,55203441,31,image,2025-05-20T05:00:34,142989,154,"no pain, all gain please
-
#job #memes #9gag","job, memes, 9gag"
DJ2x5ttJpfr,259220806,9gag,55203441,31,video,2025-05-20T00:52:33,108382,312,"Birds are freaky lil guys 📹 @lexwildlife @wildlifefilmproductions @jaapperenboom 
-
#manakin #wildlife #9gag","manakin, wildlife, 9gag"
DJ2Xg8wRANw,259220806,9gag,55203441,31,video,2025-05-19T21:08:07,132602,880,"When the cat distribution system finally chose you 📹 @5am.paradigm @scythe.the.stinker
-
#9gag #vancat #rescuecat","9gag, vancat, rescuecat"
DJ2QjIaz3fO,259220806,9gag,55203441,31,image,2025-05-19T20:00:55,111183,70,"looking at my fictional crush helps tho
-
#stress #pedropascal #memes #9gag","stress, pedropascal, memes, 9gag"
DJ1uSp4MQ7W,259220806,9gag,55203441,31,image,2025-05-19T15:01:31,117305,270,"💩 
-
#sign #backstory #memes #9gag","sign, backstory, memes, 9gag"
