post_id,user_id,username,followers,following,post_type,post_timestamp,likes,comments,caption,hashtags
DJ4Z-b3I6bU,173560420,cristiano,654035767,603,video,2025-05-20T16:02:31,743301,84378,"You think you know what age I am?
Think again. Watch the reveal with WHOOP Founder and CEO @willahmed on the @whoop Podcast.",
DJzTdOUszvX,173560420,cristiano,654035767,603,video,2025-05-18T16:29:49,3760327,629606,"Os primeiros 𝗦𝗜𝗨𝗨𝗨𝗨 de Cristiano Jr. por Portugal! 😍🇵🇹 #FazHistória

Cristiano Jr’s first two 𝗦𝗜𝗨𝗨𝗨𝗨 for Portugal! 😍🇵🇹 #HistoryNeedsMakers","FazHistória, HistoryNeedsMakers"
DJq5DRiM1QR,173560420,cristiano,654035767,603,video,2025-05-15T10:04:14,3540598,417663,Have you heard the news? @uflgame got a big update recently! Season 2 is on! Go and play for free! UFL is available on PS5 and Xbox Series X|S. Learn more at ufl.link/CRseason2,
DJmH9N1ouoc,173560420,cristiano,654035767,603,image,2025-05-13T13:37:54,11911426,91495,"Parabéns pela estreia por @portugal, filho. Muito orgulho em ti!",
DJeVSfpqcGi,173560420,cristiano,654035767,603,video,2025-05-10T13:01:18,1749188,60439,What you do today can add more tomorrows. The all-new WHOOP puts the power back in your hands with game-changing features like Healthspan with WHOOP Age. Wake up. Join the ones who already have.,
DJR_5qwoTLE,173560420,cristiano,654035767,603,video,2025-05-05T18:03:40,3769836,68631,Wake up to a better way—tune in to @whoop Thursday at 10am ET ⏱️,
DJOqJPZxUEh,173560420,cristiano,654035767,603,image,2025-05-04T10:54:52,12342520,74795,"Todos os dias são delas, mas hoje em especial ❤️ Feliz dia da Mãe.",
DJFSLHoArMG,173560420,cristiano,654035767,603,image,2025-04-30T19:32:15,6803401,60841,"Sometimes the dream has to wait. I’m proud of this team and everything we gave on the pitch. 🟡🔵

Thank you to all the fans who believed in us and stood by us every step of the way. Your support means the world. 🙏",
DJC5LKugMWS,173560420,cristiano,654035767,603,image,2025-04-29T21:15:19,4475546,35357,Full focus.,
DI7L-aVAmUK,173560420,cristiano,654035767,603,image,2025-04-26T21:25:41,7115964,78673,Semi-finals here we come!! 🔥,
DI4mT59A5IC,173560420,cristiano,654035767,603,image,2025-04-25T21:18:05,5750424,35842,Ready. 🦾,
DI1RNQMA_Io,173560420,cristiano,654035767,603,video,2025-04-24T14:17:03,1547954,17612,"Hi guys! FATAL FURY: City of the Wolves launches TODAY, which now officially makes me a character in the game!
 
Download the game today & check out how I sync up my football skills with my South Town character!
Hope you’re ready to REV IT UP with me!

@fatalfury_pr #SNK #FATALFURY #CR7","SNK, FATALFURY, CR7"
