post_id,user_id,username,followers,following,post_type,post_timestamp,likes,comments,caption,hashtags
DJM3lMHK44U,44646224725,elasonggur,269010,142,image,2025-05-03T18:13:48,7259,40,galerimde unutulanlar🥹,
DJCMqOrqtiK,44646224725,elasonggur,269010,142,video,2025-04-29T14:48:15,7249,2621,ozel gun elbiseleri part 1🤍 favoriniz hangisii? “reel link”e sabitlicem hepsinii🙂‍↔️,
DI_1OUlqdCc,44646224725,elasonggur,269010,142,image,2025-04-28T16:43:05,4315,42,serce parmak sanirim halayda,
DI4It8eq9dv,44646224725,elasonggur,269010,142,image,2025-04-25T16:59:30,16145,108,milan elosu🙂‍↔️,
DI1vPzaKUwZ,44646224725,elasonggur,269010,142,image,2025-04-24T18:38:27,20766,147,🤎,
DIwQscCKqj2,44646224725,elasonggur,269010,142,image,2025-04-22T15:35:16,23263,190,❤️,
DIt6wVhKjCg,44646224725,elasonggur,269010,142,image,2025-04-21T17:45:05,34707,178,büyüleyici bi sehir🥹🤍,
DIrIuFcqg_a,44646224725,elasonggur,269010,142,video,2025-04-20T15:55:42,15022,209,"gunun kombini🤍
#ootd",ootd
DIoQX1tKYa2,44646224725,elasonggur,269010,142,video,2025-04-19T13:00:26,4377,190,"birlikte hazirlandik🤍
#reklam",reklam
DImTeD6qWS1,44646224725,elasonggur,269010,142,image,2025-04-18T18:47:07,16598,114,🖤,
DIlhd-5qtII,44646224725,elasonggur,269010,142,video,2025-04-18T11:31:39,7048,879,"kombini sevdik mi?🥹🤍
#reklam",reklam
DIjnwHLq2fL,44646224725,elasonggur,269010,142,image,2025-04-17T17:46:37,10803,66,iner inmez kendimizi sokaklara attik🥹,
