post_id,user_id,username,followers,following,post_type,post_timestamp,likes,comments,caption,hashtags
DJzpyEWOfeM,260375673,fcbarcelona,141383444,100,video,2025-05-18T19:44:44,2024742,10927,ELS CAMPIONS DE LA LLIGA 2024/25! 🏆,
DJsHNOgI1XH,260375673,fcbarcelona,141383444,100,image,2025-05-15T21:26:49,3890991,59283,🏆 CAMPIONS DE LLIGA 🏆,
DJsHjstg2Hf,260375673,fcbarcelona,141383444,100,video,2025-05-15T21:30:37,1923442,16278,"EL NOSTRE ESTIL,
EL NOSTRE LLEGAT
💙❤️",
DJ5DdzyMLCr,260375673,fcbarcelona,141383444,100,video,2025-05-20T22:05:46,200880,927,Winning looks good on us✨,
DJ4-N_ig56g,260375673,fcbarcelona,141383444,100,image,2025-05-20T21:18:23,845667,2232,"Família blaugrana, família culer 🫶

Barça family.
Familia culer❤️",
DJ45qZTubdb,260375673,fcbarcelona,141383444,100,video,2025-05-20T20:40:51,444831,1379,Això és el BARÇA 💙❤️,
DJ4noFxNK3J,260375673,fcbarcelona,141383444,100,image,2025-05-20T18:00:00,485986,945,"Ferminator scored again 🫡

Fermín sempre marca
Otro tanto de Fermín
#laligahighlights",laligahighlights
DJ4S8nitHu6,260375673,fcbarcelona,141383444,100,image,2025-05-20T15:00:00,409331,597,"Two flags, one love. 💙❤️",
DJ3-bVdN79Z,260375673,fcbarcelona,141383444,100,video,2025-05-20T12:00:00,562192,2475,"Dani Olmo, Chairman 🪑",
DJ3i9W_AMrk,260375673,fcbarcelona,141383444,100,video,2025-05-20T08:00:00,627775,1094,"This is the 𝐋𝐀𝐌𝐈𝐍𝐄 𝐘𝐀𝐌𝐀𝐋™️

#laligahighlights",laligahighlights
DJ2aGwxgYjl,260375673,fcbarcelona,141383444,100,image,2025-05-19T21:24:21,1552638,1698,"In the most iconic moment of the night, Pedri made Ferran part of the team’s celebration. ❤️",
DJ2Q2qruS9t,260375673,fcbarcelona,141383444,100,video,2025-05-19T20:05:05,381418,872,"Una temporada per al record 🥹

🎥  @odysseyfam",
