post_id,user_id,username,followers,following,post_type,post_timestamp,likes,comments,caption,hashtags
DI_5kePycFe,528817151,nasa,96532423,83,image,2025-04-28T17:21:13,191447,580,"You are getting sleepy, very sleepy… 😵‍💫⁣
⁣
This mesmerizing view of concentric light circles is a star trail: a photograph that shows stars’ apparent motion over time in the night sky. NASA astronaut Don Pettit made this composite image combining 18 30-second-long exposures (that is, he left the camera shutter open for half a minute for each photo) taken while aboard the @ISS in 2012.⁣
⁣
The space station travels at a speed of five miles per second (8 km per s), orbiting Earth about every 90 minutes. In 24 hours, the crew aboard see 16 sunrises and sunsets. The orbital lab’s unique viewpoint and speed make it perfect for observations of Earth, allowing astronauts to take photos of our home planet, its atmosphere, and natural disasters.⁣
⁣
Image description: In this composite photo made of long exposures, stars make concentric circles of blue and white light in space. Below, Earth is blue with lines of yellow light streaking across it. Earth’s atmosphere is orange here, with a thin green border. Also visible at top is part of the Japanese Experiment Module Exposed Facility.⁣
⁣
Credit: NASA/Don Pettit⁣
⁣
#NASA #Stars #Space #Light #LongExposure #Photography","NASA, Stars, Space, Light, LongExposure, Photography"
DI4cwICyjvc,528817151,nasa,96532423,83,image,2025-04-25T19:54:39,492129,4898,"Big crater, small rover 🌔

Actually, the Lunar Roving Vehicle was 10 feet (3.0 m) long and 7.5 feet (2.3 m) wide — roughly the size of a small car — but in this photo, it's dwarfed by Plum Crater, which is nearly 130 feet (40 m) in diameter. 

Apollo 16 astronauts John W. Young and Charles M. Duke drove the lunar rover to Plum Crater on April 21, 1972, to collect samples; this photo of Duke was taken by Young, the mission commander. ""Big Muley,"" a 26-pound (11.7-kg) rock collected by Young and Duke on the rim of Plum Crater, was the largest single sample brought back from the Moon during the entire Apollo program. 

Today, we're preparing for #Artemis II, which will send humans around the Moon in 2026 for the first time in over 50 years. Follow @NASAArtemis for the latest mission updates!

Image description: A deep lunar crater stretches off the left edge of this photo; its very bottom is shrouded in shadow. On the far side of the crater, the white, boxy Lunar Roving Vehicle can be faintly seen, with a bright lens flare above and to the right. An astronaut in their spacesuit is standing on the right side of this photo, facing the camera, with an L-shaped lunar sampling tool in their left hand.

Credit: NASA/John W. Young

#NASA #Space #Moon #Apollo #Apollo16 #NASAHistory #LunarRover","Artemis, NASA, Space, Moon, Apollo, Apollo16, NASAHistory, LunarRover"
DHmJzmbJpi8,528817151,nasa,96532423,83,image,2025-03-24T20:51:17,713232,1785,"A cosmic cherry on top 🍒⁣
⁣
@NASAWebb treated us to a sweet perspective: Herbig-Haro 49/50—a towering swirl from a nearby protostar—is (coincidentally) topped with a multi-hued spiral galaxy.⁣
⁣
Herbig-Haro objects are outflows produced by jets launched from a nearby, forming star. The outflows, which can extend for light-years, plow into a denser region of material. This creates shock waves, heating the material to higher temperatures. The material then cools by emitting light at visible and infrared wavelengths.⁣
⁣
The galaxy that appears, by chance, at the tip of this cosmic soft-serve is a much more distant, face-on spiral galaxy. It has a prominent central bulge represented in blue, filled with older stars. The bulge also shows hints of “side lobes,” suggesting that this could be a barred spiral galaxy. Reddish clumps within the spiral arms show the locations of warm dust and groups of forming stars.⁣
⁣
Image description: This cosmic image is dominated with billowing clouds of orange-red gas, rich in detail. At the tip of the cloud, a spiral galaxy is visible, with a concentrated blue center that fades outwards to blend in with red spiral arms. The black background is speckled with some white stars and some smaller, fainter, and more detailed galaxies in shades of white and blue.⁣
⁣
Credit: NASA, ESA, CSA, STScI⁣
⁣
#NASA #Space #Telescope #JWST #Webb","NASA, Space, Telescope, JWST, Webb"
DJ4b_lTtVEQ,528817151,nasa,96532423,83,image,2025-05-20T16:19:25,107670,232,"Saturn’s greatest hits, now on vinyl 🎶⁣
⁣
Saturn and its innermost rings look like a close-up of a record in this image taken by Cassini, a sophisticated robotic spacecraft sent to study Saturn and its complex system of rings and moons in unprecedented detail. For more than a decade, Cassini shared the wonders of Saturn, its spectacular rings, and its family of icy moons.⁣
⁣
Saturn's rings are thought to be pieces of comets, asteroids, or shattered moons that broke up before they reached the planet, torn apart by Saturn's powerful gravity. They are made of billions of small chunks of ice and rock coated with other materials such as dust. The ring particles mostly range from tiny, dust-sized icy grains to chunks as big as a house. A few particles are as large as mountains.⁣
⁣
P.S. This picture doesn’t make any noise, but we have transformed other photos into sound with data sonification. You can listen to some here – and even learn how to make your own! https://go.nasa.gov/SpaceSounds⁣
⁣
Image description: A close-up black-and-white photo of Saturn’s rings. The rings look like grooves on a record. On the right, the rings cast a dark shadow on Saturn, which appears white here.⁣
⁣
Credit: NASA/JPL-Caltech/Space Science Institute⁣
⁣
#NASA #Saturn #Rings #Planet #Space","NASA, Saturn, Rings, Planet, Space"
DJ13nJ6NF5C,528817151,nasa,96532423,83,image,2025-05-19T16:22:56,286895,884,"Hotter than the bluest flame 🔥 
 
Our friends at the @EuropeanSpaceAgency recently shared a dazzling young star cluster as astronomers have never seen it before. 
  
This star cluster, NGC 346, is located in the Small Magellanic Cloud, a satellite galaxy of the Milky Way about 200,000 light-years away. Though @NASAHubble has studied this cluster before, this image is the first to combine Hubble’s observations made at infrared, optical, and ultraviolet wavelengths, giving an intricate view into the star-forming factory.  
 
NGC 346 is home to more than 2,500 newborn stars. The cluster’s most massive stars, which are many times more massive than our Sun, blaze with intense blue light in this image. Researchers used two sets of observations taken 11 years apart to trace the motions of NGC 346’s stars, revealing them to be spiraling in toward the center of the cluster. This spiraling motion arises from a stream of gas from outside of the cluster that fuels star formation in the center of the turbulent cloud. 
 
Image description: A star cluster within a nebula. Thin, pale-blue wisps of clouds fill the background while denser areas of pinkish clouds appear superimposed upon them. The star cluster holds bright-blue stars that illuminate the nebula. Large arcs of dense, reddish-brown dust pressed together by the stars’ radiation curve around, in front of, and behind the clustered stars. Many orange stars are visible in the background behind the clouds of the nebula. 
 
Credit: ESA/Hubble & NASA, A. Nota, P. Massey, E. Sabbi, C. Murray, M. Zamani (ESA/Hubble) 
 
#NASA #Space #Hubble #Telescope #Astronomy #Stars #Cosmos #Universe","NASA, Space, Hubble, Telescope, Astronomy, Stars, Cosmos, Universe"
DJuVfuGz_TV,528817151,nasa,96532423,83,image,2025-05-16T18:10:15,272492,656,"Viewing Earth from the best seat in the house 🧑🏻‍🚀

A starry night sky and an atmospheric glow blanket Earth's horizon in this image taken from the International Space Station (@ISS) as it orbited 257 miles (about 413 km) above Southeast Asia on Feb. 20, 2025.

The station’s orbital path takes it over 90 percent of the Earth’s population, with astronauts taking millions of images of the planet below. Check out more facts about the space station:

- The International Space Station is larger than a six-bedroom house, with six sleeping quarters, two bathrooms, a gym, and a 360-degree-view window called the cupola.
- The space station has been continuously occupied since November 2000.
- Peggy Whitson holds the record among American astronauts for the most time spent in space, at 675 days.
- The station travels a distance equivalent to the Moon and back in about a day.

Image description: A picture of Southeast Asia taken from the International Space Station. Stars shine above Earth as its horizon glows in yellow. Extending from the bottom left, Singapore and Kuala Lumpur light up the coast of the Malay Peninsula in white and green. At the center, fishing boats and their lights dot the Gulf of Thailand and South China Sea.

Credit: NASA/Don Pettit

#NASA #Space #ISS #SpaceStation #NightSky #Singapore #Earth #Asia #Photography #Astronaut","NASA, Space, ISS, SpaceStation, NightSky, Singapore, Earth, Asia, Photography, Astronaut"
DJrhETOJoVS,528817151,nasa,96532423,83,image,2025-05-15T15:53:32,354825,798,"Spring cleaning for a cosmic spiderweb 🧹

The Tarantula Nebula, located in a neighboring galaxy about 160,000 light-years from Earth, is full of bright clouds of gas and dark clumps of dust. This nebula is one of the most productive star-forming regions in the nearby universe—and even though its individual dust grains are incredibly tiny, far smaller than the width of a single human hair, gravity brings them together in disks around these stars to form larger clumps. 

Eventually, these clumps can form planets and solar systems, clearing out the space around them. 

This image of the Tarantula Nebula was captured by our orbiting @NASAHubble telescope.

Image description: A dazzling cosmic landscape is filled with white, red, and brown strands. Dark, fine clumps of dust draw a line from the top-center to center-right. Stars in shades of purple and blue fill the background.

Credit: ESA/Hubble & NASA, C. Murray

#NASA #Space #Universe #Nebula #Astrophotography","NASA, Space, Universe, Nebula, Astrophotography"
DJo1scjuEhs,528817151,nasa,96532423,83,image,2025-05-14T14:56:11,285153,2062,"Sweet dreams come after hours 😴⁣
 ⁣
@astro_ayers snapped this nighttime photo of Seoul, South Korea on April 25, 2025, as the @ISS orbited 259 miles (417 km) above.⁣
 ⁣
The International Space Station circles the Earth every 90 minutes, traveling at about 17,500 miles (28,000 km) per hour. This gives the crew 16 sunrises and sunsets every day! All of these passes give the station crew a unique opportunity to observe our home planet. Crew members – and external station cameras – take pictures of the Earth at all hours of the day, capturing our planet’s beauty and nature’s devastation.⁣
 ⁣
Image description: Seoul’s city lights shine into the darkness. The lights are brightest nearer to the Han River, which splits the city.⁣
 ⁣
Credit: NASA/Nichole Ayers⁣
 ⁣
#NASA #SpaceStation #ISS #SouthKorea #Seoul #NightPhotography #BTS","NASA, SpaceStation, ISS, SouthKorea, Seoul, NightPhotography, BTS"
DJmdOE1t7Qq,528817151,nasa,96532423,83,image,2025-05-13T16:43:48,155562,523,"Sometimes, it takes three 🧑‍🚀🧑‍🚀🧑‍🚀

On May 13, 1992—33 years ago today—astronauts Richard J. Hieb, Thomas D. Akers and Pierre J. Thuot stepped outside of space shuttle Endeavour on the first (and so far, only) three-person spacewalk. The trio spent eight-and-a-half hours maneuvering the Intelsat VI satellite seen here into the shuttle's cargo bay, where a new motor was installed to help it reach its final orbit.

STS-49, the mission on which this spacewalk took place, was Endeavour's inaugural flight into space. Endeavour flew 25 missions, spending 299 days and over 120 million miles (190 million km) in low Earth orbit, before touching down at @NASAKennedy for the last time in 2011. Nine years later, Robert Behnken and Douglas Hurley, the first astronauts to visit the @ISS in SpaceX's Crew Dragon, named their spacecraft ""Endeavour"" in honor of the first shuttle they ever flew on.

Image description: A massive black, cylindrical satellite hovers in orbit over the complex machinery of space shuttle Endeavour. Three astronauts in spacesuits, spaced evenly around it, are holding on to its bottom and its attached hardware. The cloudy Earth fills the background. 

Credit: NASA

#NASA #Endeavour #SpaceShuttle #NASAHistory #OnThisDay","NASA, Endeavour, SpaceShuttle, NASAHistory, OnThisDay"
DJjYPnntBmg,528817151,nasa,96532423,83,image,2025-05-12T12:02:30,339539,589,"More passion, more energy 🕺
 
The amazing dancing lights we can see close to the North and South Poles of Earth happen on other planets, too, and @NASAWebb captured new details of auroras on the biggest planet in our solar system. Observations show that auroras on Jupiter are huge in size and are also hundreds of times more energetic than auroras on Earth.
 
On Earth, auroras are caused by solar storms. When charged particles rain down on the upper atmosphere, it excites gases and causes them to glow colors of red, green, and purple. On Jupiter, there's an additional source of auroras — the magnetic field of the gas giant grabs charged particles from its surroundings, including its tumultuous volcanic moon, Io.

Io’s estimated 400 volcanoes spew particles that escape the moon’s gravity and orbit Jupiter. During a solar storm, a barrage of charged particles is unleashed onto the planet. Jupiter’s large and powerful magnetic field captures charged particles and accelerates them to tremendous speeds. These speedy particles slam into the planet’s atmosphere at high energies, which excites the gas and causes it to glow.
 
Now, Webb’s unique capabilities are providing new insights into the auroras on Jupiter. The telescope’s sensitivity allows astronomers to increase the shutter speed to capture the quick changes of auroral features.
 
Visual descriptions:

1. The planet Jupiter as seen in near-infrared light. Its clouds are dark blue and white in color, with some red spots within the clouds, while its poles are tinged with green, yellow, and red. A box over the North Pole is overlaid with more data in shades of orange, displaying auroras as arcs and rings.
 
2. The inset area is shown in larger detail. This video is a close-up near-infrared look at Jupiter’s North Pole, in shades of orange. Swirling auroras cover the pole.
 
Credit: ESA/Webb, NASA, CSA, J. Nichols (University of Leicester), M. Zamani (ESA/Webb)
 
#NASA #Space #JWST #NASAWebb #Telescope #Jupiter #SolarSystem #Aurora","NASA, Space, JWST, NASAWebb, Telescope, Jupiter, SolarSystem, Aurora"
