post_id,user_id,username,followers,following,post_type,post_timestamp,likes,comments,caption,hashtags
DJ4uZWnulNv,787132,natgeo,278531238,169,image,2025-05-20T19:00:14,26743,510,"Due to the recessive nature of the “redhead gene,” it’s become a popular belief that the ginger friends we have today could be among the last, with some even claiming that they’re on the verge of extinction. But science says those claims are a serious stretch. While flaming locks aren't destined to die out anytime soon, their origin and genetic rarity are fascinating.

Head to the link in bio to learn more about the history and science of redheads.

Photograph by @kikeo",
DJ4ZzePT6jQ,787132,natgeo,278531238,169,image,2025-05-20T16:00:15,296832,1453,"Comprised of over 500,000 images, this new digital scan of the Titanic is so precise, it can even pick out small personal objects left behind by the passengers.

#TitanicTheDigitalResurrection is now streaming on @DisneyPlus and @hulu.",TitanicTheDigitalResurrection
DJ4FfBhgjku,787132,natgeo,278531238,169,video,2025-05-20T13:03:06,18576,83,Wishing you a rex-cellent International Dinosaur Day! Did you know the Tyrannosaurus rex was likely born with feathers? 🪶 Learn more about this iconic dinosaur at the link in bio.,
DJ33eBYzOIs,787132,natgeo,278531238,169,image,2025-05-20T11:00:14,90884,218,"Photos by @ingoarndtphotography

Honeybees are now beginning to swarm. Once they leave a hive, they search for a cavity where they can establish a new colony. An old, rotted-out woodpecker nest is a perfect place. From their new home, they begin searching for nectar and pollen to feed themselves and their brood. Photo 1: The swarm moves into an old black woodpecker nest cavity (viewed from inside to outside). Photo 2: A construction bee uses its mandibles to take wax scales from a nestmate. Photo 3: About two weeks after the bees move in, the first combs become visible.

Honeybees are important pollinators, helping a large variety of plants reproduce and improving harvests., Fruit and vegetable plants in particular depend on honeybee pollination. Some pesticides used in agriculture can be highly toxic to honeybees. Neurotoxins from the neonicotinoid group are particularly devastating. Theys disrupt the bees' sense of orientation and memory and weaken their immune systems. As a result, bees can no longer find their way back to their hive and become vulnerable to disease. #WorldBeeDay

The pictures are part of my story, ""The Secrets of Bees,"" published in the March 2020 issue of National Geographic magazine. You can read it at the link in bio.",WorldBeeDay
DJ2wF4vPdUK,787132,natgeo,278531238,169,image,2025-05-20T00:36:37,113339,324,"Howler monkey babies have an unusual—and accidental—predator: capuchin monkeys. In Panama, scientists have spotted the primates kidnapping howler infants and inadvertently killing them. But what is causing this behavior? Find out more at the link in bio.

Camera trap videos by Brendan Barrett & Christian Ziegler / Max Planck Institute of Animal Behavior",
DJ2fyWQAbgM,787132,natgeo,278531238,169,video,2025-05-19T22:14:41,53729,178,"Orcas are clever, social animals with extraordinary skills.

#SecretsOfTheWhales is now streaming on @DisneyPlus and @hulu.",SecretsOfTheWhales
DJ11U_WoDZM,787132,natgeo,278531238,169,video,2025-05-19T16:03:24,31389,201,"When @stanleytucci likes a dish, you'll know.

Watch #TucciInItaly, Sundays at 8/7c on National Geographic. Now streaming on @DisneyPlus and @hulu.",TucciInItaly
DJ1gZgsTgY-,787132,natgeo,278531238,169,image,2025-05-19T13:00:14,40331,348,"This summer, the eastern U.S. will be inundated with trillions of Brood XIV periodical cicadas.

These large, red-eyed insects emerge from the ground at 13- or 17-year intervals, filling the air with their distinctive buzzing sound. Dubbed ""the mother of all 17-year broods,"" Brood XIV was last seen in the U.S. in 2008, but sightings date back to the Plymouth colony in 1634.

Learn more about periodical cicadas and what makes this brood so significant at the link in bio. 

Photograph by @beckythale",
DJz5aNOs7cs,787132,natgeo,278531238,169,image,2025-05-18T22:00:12,53323,112,"There are so many ways to measure health, success, and general well-being that it can become rather complex to pin down a sense of one's all-around wellness. Now, a team of scientists has refined the idea, summing it up with one simple—but robust—term: ""flourishing."" 

Find out more about what it really takes to “flourish,"" who is actually doing so, and who is languishing behind at the link in bio.

Photographs by Kendrick Brinson; Luisa Dorr; Nyimas Laula, The New York Times/Redux; Elliot Ross; Balazs Gardi.",
DJzkz42O3nE,787132,natgeo,278531238,169,image,2025-05-18T19:00:13,75451,168,"Meet nature's master builder—and one of its most effective firefighters: the beaver. With a few well-placed sticks and a lot of determination, these ecosystem engineers reshape entire landscapes. Their dams slow water, green the land, and help protect habitats from wildfire.
 
In Idaho and California, land managers and tribal partners are following the beavers' blueprint, constructing ""beaver dam analogs"" that mimic their work. These structures help rehydrate fire-scarred landscapes, trap debris, and set the stage for recovery—like for the Baugh Creek watershed which has been restored in the aftermath of the 2018 Sharps fire, which burned 65,000 acres.
 
Of course, this wisdom runs deep. Indigenous communities have long recognized the beaver's role as a steward of water and life. Blackfeet environmental historian Rosalyn LaPier notes that the tribe reveres beavers as divine beings—able to speak with humans and honored for the oases they create.
 
Learn more about these incredible engineers at the link in bio.
 
Photographs by @Ronan_Donovan and @KholoodEid",
