post_id,user_id,username,followers,following,post_type,post_timestamp,likes,comments,caption,hashtags
DIyqOqjOLaA,13460080,nike,300914588,228,video,2025-04-23T14:00:45,80014,4864,"BREAKING4: @faithkipyegon vs. the 4-minute mile. 

Behind every human breakthrough lies unshakeable perseverance. And it helps to have Faith.

Witness history on June 26th.",
DF32H4aywnq,13460080,nike,300914588,228,video,2025-02-10T00:57:14,652678,11237,"There’s one guarantee in sport. You’ll be told you can’t do it. So do it anyway.

You can’t win. So Win.

🎤 @doechii",
DJz_LyiyTET,13460080,nike,300914588,228,image,2025-05-18T22:50:37,213807,497,"The verdict is in. 

World No. 1 @scottie.scheffler is the PGA Champion.",
DJUI99GRdHf,13460080,nike,300914588,228,image,2025-05-06T14:00:25,200905,932,"Petty in pink.

The A’One ‘Pink A’ura’ pairs the essence of @aja22wilson’s favorite color with her unapologetic style of play. Low, sleek, and comfortable—the perfect combination to dominate from end to end.",
DJMn8eZx3Kw,13460080,nike,300914588,228,video,2025-05-03T16:00:02,88966,3054,"From the playground to the playoffs, real ones know there’s only one A’ja. 

The A’One drops May 6 in SNKRS",
DJE57liRQxp,13460080,nike,300914588,228,image,2025-04-30T16:00:25,85553,384,"Polished looks, luxurious feels. The latest Nike 24.7 collection features premium fabrics in all-new hues and styles.

On or off the pitch and court, @aurelientchm @ssaaaann__22 and @zhengqinwen_tennis are always on the move and ready to take on the day in comfort.",
DI_wQW2RDz0,13460080,nike,300914588,228,image,2025-04-28T15:59:40,35192,1442,"Always on point and always comfortable, the latest Nike 24.7 collection is up for the challenge.

Tailored for comfort, @ishodwair, @dinaashersmith, and @vashtizzle are ready for anything, from the track to the streets. Nike 24.7.",
DI1c9SrMr5j,13460080,nike,300914588,228,video,2025-04-24T16:00:13,31395,656,"Aura in every detail.

Hearing @aja22wilson tell us how the A’One came to life has us ready to lace ’em up ASAP.",
DIjGc3vRZlg,13460080,nike,300914588,228,video,2025-04-17T13:00:07,71020,895,"Warm up fast. Recover strong. Do more sport.
 
Introducing our latest innovation, Hyperboot – wearable heat with Normatec dynamic air compression that you can customize on the go.
 
A Nike x Hyperice collaboration.",
DIZ6mEXS7-N,13460080,nike,300914588,228,video,2025-04-13T23:19:25,210619,923,"Four majors made @rorymcilroy great. Completing a career Grand Slam, legendary.",
DIHqODfBB2O,13460080,nike,300914588,228,video,2025-04-06T21:10:13,133146,519,Top dogs. @uconnwbb,
DIHTQE8ygUW,13460080,nike,300914588,228,image,2025-04-06T17:48:45,88095,487,"EIGHT NINETY FIVE, ALL CAPS. Congrats to Alexander Ovechkin on breaking the NHL all-time goal scoring record.",
