post_id,user_id,username,followers,following,post_type,post_timestamp,likes,comments,caption,hashtags
DJ4s48VIidt,290023231,realmadrid,175266158,59,video,2025-05-20T18:57:49,297723,1354,"🔥 @K.Mbappe 🔥
7️⃣ GOALS
4️⃣ MATCHES 
#LaLigaHighlights",LaLigaHighlights
DJ4ZTWcMlvZ,290023231,realmadrid,175266158,59,video,2025-05-20T15:56:10,152858,599,"✨ LA SÉPTIMA.
⚽ Mijatovic
🏆 20/05/1998
#OTD | #RealFootball","OTD, RealFootball"
DJ3_01osxNf,290023231,realmadrid,175266158,59,image,2025-05-20T12:13:11,474114,881,"🏆 ¡Hace 27 años se ganó la séptima Copa de Europa!
🏆 27 years since club’s seventh European Cup!
▶️ #RMPlay 👉 Link in bio
#OTD | #RealFootball","RMPlay, OTD, RealFootball"
DJ30AbUMv8g,290023231,realmadrid,175266158,59,video,2025-05-20T10:30:41,245417,488,"🧡 @JudeBellingham 🧡
#LaLigaHighlights",LaLigaHighlights
DJ3n0rxsgPl,290023231,realmadrid,175266158,59,video,2025-05-20T08:44:49,455742,1205,"🚀 @K.Mbappe 🚀
📺 FULL MATCH ➡️ #RMPlay
▶️ #Madridistas Premium exclusive!
🔗 LINK IN BIO
#LaLigaHighlights","RMPlay, Madridistas, LaLigaHighlights"
DJ18AiwM-K9,290023231,realmadrid,175266158,59,image,2025-05-19T17:01:21,711084,826,"⚽⚔🔥
#SevillaFCRealMadrid",SevillaFCRealMadrid
DJ1SW7Gsrjn,290023231,realmadrid,175266158,59,image,2025-05-19T10:57:24,638029,941,"✨🔟✨
#SevillaFCRealMadrid",SevillaFCRealMadrid
DJ1DtdzIwPY,290023231,realmadrid,175266158,59,image,2025-05-19T08:49:25,666539,671,"🟠⚽ @JudeBellingham ⚽🟠 
#SevillaFCRealMadrid",SevillaFCRealMadrid
DJzxm3sMQq5,290023231,realmadrid,175266158,59,video,2025-05-18T20:52:32,569646,3486,"🤳 @JudeBellingham: “Muy contento con la victoria de hoy. Gracias por el apoyo y gracias a las personas que han viajado. Nos vemos por última vez esta temporada en el próximo partido. Queremos acabar el año de la mejor manera, así que nos vemos allí. ¡Hala Madrid!”
#SevillaFCRealMadrid",SevillaFCRealMadrid
DJztdyqIldU,290023231,realmadrid,175266158,59,image,2025-05-18T20:15:48,694096,1327,"🎙️ @MrAncelotti 🎙️
“We wanted to get the three points and we did”.
“Queríamos sacar los tres puntos y lo hemos hecho”.
#SevillaFCRealMadrid",SevillaFCRealMadrid
DJzl85ci8Au,290023231,realmadrid,175266158,59,image,2025-05-18T19:10:08,764019,1395,"🤩 @JudeBellingham 🤩
#SevillaFCRealMadrid",SevillaFCRealMadrid
DJzk3WFiNLm,290023231,realmadrid,175266158,59,image,2025-05-18T19:00:38,1504189,6463,"Sevilla 0-2 Real Madrid
⚽ 75’ @K.Mbappe
⚽ 87’ @JudeBellingham
👉 @Emirates
#SevillaFCRealMadrid",SevillaFCRealMadrid
